Movie Title,Movie Rating,Genre,Box Office,Run Time(min),Stars
1. The Shawshank Redemption (1994),"9.3 Rate this
80 Metascore",Drama,"Votes: 2,279,871 | Gross: $28.34M",142 min,"Director: Frank Darabont | Stars: Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler"
2. The Godfather (1972),"9.2 Rate this
100 Metascore","Crime, Drama","Votes: 1,573,437 | Gross: $134.97M",175 min,"Director: Francis Ford Coppola | Stars: Marlon Brando, Al Pacino, James Caan, Diane Keaton"
3. The Dark Knight (2008),"9.0 Rate this
84 Metascore","Action, Crime, Drama","Votes: 2,242,944 | Gross: $534.86M",152 min,"Director: Christopher Nolan | Stars: Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
4. The Godfather: Part II (1974),"9.0 Rate this
90 Metascore","Crime, Drama","Votes: 1,099,257 | Gross: $57.30M",202 min,"Director: Francis Ford Coppola | Stars: Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton"
5. The Lord of the Rings: The Return of the King (2003),"8.9 Rate this
94 Metascore","Action, Adventure, Drama","Votes: 1,604,825 | Gross: $377.85M",201 min,"Director: Peter Jackson | Stars: Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom"
6. Pulp Fiction (1994),"8.9 Rate this
94 Metascore","Crime, Drama","Votes: 1,780,919 | Gross: $107.93M",154 min,"Director: Quentin Tarantino | Stars: John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis"
7. Schindler's List (1993),"8.9 Rate this
94 Metascore","Biography, Drama, History","Votes: 1,183,755 | Gross: $96.90M",195 min,"Director: Steven Spielberg | Stars: Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall"
8. 12 Angry Men (1957),"8.9 Rate this
96 Metascore","Crime, Drama","Votes: 668,884 | Gross: $4.36M",96 min,"Director: Sidney Lumet | Stars: Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler"
9. Dil Bechara (2020),8.8 Rate this,"Comedy, Drama, Romance","Votes: 101,959",101 min,"Director: Mukesh Chhabra | Stars: Sushant Singh Rajput, Sanjana Sanghi, Sahil Vaid, Saswata Chatterjee"
10. Inception (2010),"8.8 Rate this
74 Metascore","Action, Adventure, Sci-Fi","Votes: 2,004,258 | Gross: $292.58M",148 min,"Director: Christopher Nolan | Stars: Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe"
11. Fight Club (1999),"8.8 Rate this
66 Metascore",Drama,"Votes: 1,808,194 | Gross: $37.03M",139 min,"Director: David Fincher | Stars: Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier"
12. The Lord of the Rings: The Fellowship of the Ring (2001),"8.8 Rate this
92 Metascore","Action, Adventure, Drama","Votes: 1,620,490 | Gross: $315.54M",178 min,"Director: Peter Jackson | Stars: Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean"
13. Forrest Gump (1994),"8.8 Rate this
82 Metascore","Drama, Romance","Votes: 1,756,307 | Gross: $330.25M",142 min,"Director: Robert Zemeckis | Stars: Tom Hanks, Robin Wright, Gary Sinise, Sally Field"
"14. The Good, the Bad and the Ugly (1966)","8.8 Rate this
90 Metascore",Western,"Votes: 672,768 | Gross: $6.10M",178 min,"Director: Sergio Leone | Stars: Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè"
15. Hamilton (2020),"8.7 Rate this
90 Metascore","Biography, Drama, History","Votes: 37,978",160 min,"Director: Thomas Kail | Stars: Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry"
